lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56
6156	Monday	Måndag	Lunes	Lunes	Montag	Maandag	יום שני	Lundi	Lundi	Mandag	周一	星期一	Понедельник	Երկուշաբթի		Senin	Δευτέρα		Segunda	Segunda-feira		الأثنين	Mandag	Pazartesi	Poniedziałek		Lunedì	सोमवार	Luni	Thứ Hai		e Hene	Pondělí	Понеділок	সোমবার		دوشنبه			月曜日	Maanantai						सोमवारी			सोमवार						dummy
6157	Mongolian					Mongools	מונגולית							Մոնղոլերեն		Mongolia				mongol		منغولي					Mongolian		Mongolian			Mongolisht								モンゴル人							मंगोलियन									dummy
6158	Monocular Pupillary Diameter - Distance																			Diâmetro pupilar monocular - Distância									Monocular Pupillary Diameter - Distance																											dummy
6159	Monocular Pupillary Diameter - Near																			Diâmetro pupilar monocular - próximo									Monocular Pupillary Diameter - Near																											dummy
6160	month	månad	mes	mes	Monat	maand	חודש	mois	mois	måned	月	月	месяц	ամիս		bulan	μήνας		mês	mês		شهر	måned	ay	miesiąc		mese	माह	luna	tháng		muaj	měsíc	місяць			ماه			月	kuukausi						महिन्यात			माह						dummy
6161	Month	Månad	Mes	Mes	Monat	Maand	חודש	Mois	Mois	Måned	月	月	Месяц	Ամիս		Bulan	Μήνας		Mês	Mês		شهر	Måned	Ay	Miesiąc		Mese	माह	Luna	Tháng		Muaj	Měsíc	Місяць			ماهیانه			月	Kuukausi						महिना			माह						dummy
6162	Month View	Månadsvy	Ver Mes	Ver Mes	Monatsansicht	Maandoverzicht	תצוגת חודש	Vue du Mois	Vue du Mois	Månedlig Perspektiv	按月查看	按月查看	Обзор за месяц	Ամսվա դիտում		Lihat Bulan	Προβολή Μηνός		Mês	Ver mês		رؤية الشهر	Månadsvy	Ay Görünümü	Widok miesiąca		Vista del Mese	माह दृश्य	Vedere luna	Xem theo Tháng		Shiko Muajin	Měsíční zobrazení	Огляд за місяць						月表	Kuukausinäkymä						महिना पहा			माह दृश्य						dummy
6163	Month(s)	Månad (er)	Mes(es)	Mes(es)	Monat(e)	Maand(en)	חודשים	Mois	Mois	Måned(er)	月	月	Месяц(ы)	Ամիս(ներ)		Bulan	Μήνας (-ες)		Mes(es)	Mês (s)		الأشهر	Måned(er)	Ay(lar)	Miesiąc(e)		Mese(i)	महीने (s)	Luna(i)	Tháng		Muaj(t)	Měsíce	Місяць(і)			ماه (ها)			月	Kuukaudet						महिना (चे)			महीने (s)						dummy
6164	Monthly Income	Månadsinkomst	Ingreso Mensual	Ingreso Mensual	Monatseinkommen	Maandelijks inkomen	הכנסה חודשית	Revenue Mensuel	Revenue Mensuel		月收入	月收入	Ежемесячный доход	Ամսական եկամուտ		Pendapatan Bulanan	Μηνιαίο εισόδημα		Rendimento Mensal	Renda Mensal		الدخل الشهري	Månadsinkomst	Aylık Gelir			Entrata mensile	मासिक आय	Intrari lunare	Thu nhập Hàng tháng		Te Hyrat Mujore	Měsíční příjem	Щомісячний дохід			درآمد ماهانه			月収	Kuukausitulot						मासिक उत्पन्न			मासिक आय						dummy
6165	months					maanden	חודשים	mois						ամիսներ		bulan	μήνες			meses									luni			muajt																								dummy
6166	Months		Meses	Meses	Monate	Maanden	חודשים	Mois	Mois		几个月	幾個月	Месяцы	Ամիսներ		Bulan	Μήνες		Meses	Meses		اشهر	Måneder	Aylar	Miesiące(-ęcy)		Mesi	महीने	Luni	Tháng		Muajt		Місяці			ماه ها			月	Kuukaudet						महिने			महीने						dummy
6167	months ago					maanden geleden											μήνες πριν			meses antes																																				dummy
6168	Mood/Affect Nml{{Mood and affect normal}}																			Humor / Afetar Nml {{Humor e afetar normal}}									Mood/Affect Nml{{Mood and affect normal}}																											dummy
6169	More Actions																																																							dummy
6170	More appointments may exist																																																							dummy
6171	More information about Clinical Decision Rule can be found here																			Mais informações sobre a regra de decisão clínica podem ser encontradas aqui																																				dummy
6172	More information about Issues can be found here																			Mais informações sobre os problemas podem ser encontradas aqui																																				dummy
6173	More information about what phiMail is and how to set it up is available here																			Mais informações sobre o que é phiMail e como configurá-lo estão disponíveis aqui																																				dummy
6174	More information available at the openEMR MedEx wiki page																			Mais informações disponíveis na página wiki openEMR MedEx																																				dummy
6175	More information on how to edit this form and other such forms can be found here																			Mais informações sobre como editar este formulário e outros formulários podem ser encontradas aqui																																				dummy
6176	More information on the use of phiMail messages is available here																			Mais informações sobre o uso de mensagens phiMail estão disponíveis aqui																																				dummy
6177	More options							Plus d\'options									Περισσότερες επιλογές			Mais opções																																				dummy
